"displayName","description","datatype","patientAttribute","priority","clinicalAttributeId","studyId"
"Age (yrs)","Age (yrs)","NUMBER","True","1","AGE_YRS","nsclc_mskcc_2018"
"Best Overall Response","Best Overall Response","STRING","True","1","BEST_OVERALL_RESPONSE","nsclc_mskcc_2018"
"Cancer Type","Cancer Type","STRING","False","1","CANCER_TYPE","nsclc_mskcc_2018"
"Cancer Type Detailed","Cancer Type Detailed","STRING","False","1","CANCER_TYPE_DETAILED","nsclc_mskcc_2018"
"Durable Clinical Benefit","Durable Clinical Benefit","STRING","True","1","DURABLE_CLINICAL_BENEFIT","nsclc_mskcc_2018"
"ECOG performance status","ECOG performance status","STRING","True","1","ECOG_PERFORMANCE_STATUS","nsclc_mskcc_2018"
"Histology","Histology","STRING","True","1","HISTOLOGY","nsclc_mskcc_2018"
"HLA_A1 allele","HLA_A1 allele","STRING","False","1","HLA_A1_ALLELE","nsclc_mskcc_2018"
"HLA_A2 alleles","HLA_A2 alleles","STRING","False","1","HLA_A2_ALLELES","nsclc_mskcc_2018"
"HLA_B1 alleles","HLA_B1 alleles","STRING","False","1","HLA_B1_ALLELES","nsclc_mskcc_2018"
"HLA_B2 alleles","HLA_B2 alleles","STRING","False","1","HLA_B2_ALLELES","nsclc_mskcc_2018"
"HLA_C1 alleles","HLA_C1 alleles","STRING","False","1","HLA_C1_ALLELES","nsclc_mskcc_2018"
"HLA_C2 alleles","HLA_C2 alleles","STRING","False","1","HLA_C2_ALLELES","nsclc_mskcc_2018"
"Mutation Count","Mutation Count","NUMBER","False","30","MUTATION_COUNT","nsclc_mskcc_2018"
"Nonsynonymous Mutation Burden","Nonsynonymous Mutation Burden","NUMBER","True","1","NONSYNONYMOUS_MUTATION_BURDEN","nsclc_mskcc_2018"
"Oncotree Code","Oncotree Code","STRING","False","1","ONCOTREE_CODE","nsclc_mskcc_2018"
"PD-L1 expression (Percentage)","PD-L1 expression (Percentage)","NUMBER","True","1","PDL1_EXP","nsclc_mskcc_2018"
"Progress Free Survival (Months)","Progress Free Survival (Months)","NUMBER","True","1","PFS_MONTHS","nsclc_mskcc_2018"
"Progression Free Status","Progression Free Status","STRING","True","1","PFS_STATUS","nsclc_mskcc_2018"
"Predicted neoantigen burden","Predicted neoantigen burden","NUMBER","True","1","PREDICTED_NEOANTIGEN_BURDEN","nsclc_mskcc_2018"
"Number of Samples Per Patient","Number of Samples Per Patient","STRING","True","1","SAMPLE_COUNT","nsclc_mskcc_2018"
"Sex","Sex","STRING","True","1","SEX","nsclc_mskcc_2018"
"Smoking Status","Smoking Status (cigarettes only)","STRING","True","1","SMOKING_STATUS","nsclc_mskcc_2018"
"Somatic Status","Somatic Status.","STRING","False","1","SOMATIC_STATUS","nsclc_mskcc_2018"
"TMB (nonsynonymous)","TMB (nonsynonymous)","NUMBER","False","1","TMB_NONSYNONYMOUS","nsclc_mskcc_2018"
